Assay	UniProt	MR_outcomes	Beta
COMT	P21964	Triglycerides	-0.075
COMT	P21964	Urate	-0.109
COMT	P21964	Waist circumference	-0.123
COMT	P21964	Weight	-0.123
COMT	P21964	Apolipoprotein A1	0.0624
COMT	P21964	Body fat mass	-0.0627
COMT	P21964	Body fat-free mass	-0.0665
COMT	P21964	Body mass index	-0.0741
COMT	P21964	Coronary artery disease	-0.181
COMT	P21964	HbA1c	-0.0502
COMT	P21964	High density lipoprotein cholesterol levels	0.0507
COMT	P21964	Hip circumference	-0.0852
COMT	P21964	Hypertension	-0.0342
COMT	P21964	Low density lipoprotein cholesterol levels	-0.0716
COMT	P21964	Non-HDL cholesterol levels	-0.086
COMT	P21964	Pulse pressure	-1.51
COMT	P21964	Systolic blood pressure	-1.72
COMT	P21964	Total cholesterol levels	-0.0544
COMT	P21964	Triglycerides	-0.0469
COMT	P21964	Urate	-0.0757
COMT	P21964	Waist circumference	-0.0831
COMT	P21964	Weight	-0.0838
CPN2	P22792	Body fat-free mass	-0.00735
CPN2	P22792	Height	-0.0152
CPTP	Q5TA50	High density lipoprotein cholesterol levels	0.181
CPTP	Q5TA50	Pulse pressure	-3.85
CPTP	Q5TA50	Systolic blood pressure	-4.41
CPVL	Q9H3G5	Basal cell carcinoma	0.0882
CPXM1	Q96SM3	Glomerular filtration rate (estimated)	-0.00143
CPXM1	Q96SM3	Low density lipoprotein cholesterol levels	0.00953
CPXM1	Q96SM3	Lung cancer	0.0711
CPXM1	Q96SM3	Pulse pressure	-0.172
CPXM1	Q96SM3	Systolic blood pressure	-0.186
CPXM1	Q96SM3	Pulse pressure	-0.399
CPXM1	Q96SM3	Low density lipoprotein cholesterol levels	0.0108
CPXM1	Q96SM3	Pulse pressure	-0.286
CPXM1	Q96SM3	Pulse pressure	-0.383
CPZ	Q66K79	Height	0.0755
CPZ	Q66K79	Pulse pressure	-0.531
CR1	P17927	Alzheimer's disease	0.201
CR1	P17927	Alzheimer's disease	0.222
CR1	P17927	Alzheimer's disease	0.212
CR1	P17927	Alzheimer's disease	0.296
CRACR2A	Q9BSW2	Height	-0.0408
CRELD1	Q96HD1	Body fat mass	-0.00967
CRELD1	Q96HD1	Body fat-free mass	-0.0113
CRELD1	Q96HD1	Height	-0.0141
CRELD1	Q96HD1	Hip circumference	-0.013
CRELD1	Q96HD1	Osteoarthritis	-0.0305
CRELD1	Q96HD1	Waist circumference	-0.00814
CRELD1	Q96HD1	Weight	-0.0137
CRELD1	Q96HD1	Body fat-free mass	-0.0201
CRELD1	Q96HD1	Hip circumference	-0.0253
CRELD1	Q96HD1	Weight	-0.0216
CRELD2	Q6UXH1	Non-HDL cholesterol levels	0.0225
CRELD2	Q6UXH1	Total cholesterol levels	0.0214
CRH	P06850	Height	-0.0208
CRIM1	Q9NZV1	Diastolic blood pressure	1.15
CRIM1	Q9NZV1	Height	0.0553
CRIM1	Q9NZV1	Systolic blood pressure	1.66
CRTAM	O95727	Height	0.0215
CRTAM	O95727	IGF-1	-0.0344
CRTAM	O95727	IGF-1	-0.0428
CRTAM	O95727	Height	0.026
CRTAM	O95727	IGF-1	-0.0416
CRTAM	O95727	Height	0.0212
CSF1	P09603	High density lipoprotein cholesterol levels	-0.0707
CSF1	P09603	Liver volume	0.133
CSF1	P09603	Pulse pressure	0.495
CSF1	P09603	Triglycerides	0.0359
CSF1	P09603	Visceral adipose tissue adjusted for BMI and height (VATadj)	0.143
CSF1	P09603	WHR	0.0504
CTRB1	P17538	Crohn's disease	-0.0944
CTRB1	P17538	Low density lipoprotein cholesterol levels	0.0106
CTRB1	P17538	Crohn's disease	-0.139
CTRB1	P17538	Height	0.014
CTRB1	P17538	High density lipoprotein cholesterol levels	-0.0178
CTRB1	P17538	Inflammatory bowel disease	-0.118
CTRB1	P17538	Type 1 diabetes	-0.285
CTRB1	P17538	Crohn's disease	-0.115
CTRB1	P17538	High density lipoprotein cholesterol levels	-0.0147
CTRB1	P17538	Inflammatory bowel disease	-0.0974
CTRB1	P17538	Type 1 diabetes	-0.236
CTRC	Q99895	Apolipoprotein A1	0.0208
CTSB	P07858	Non-HDL cholesterol levels	0.0167
CTSB	P07858	Total cholesterol levels	0.0172
CTSB	P07858	Very low-density lipoprotein cholesterol	0.0284
CTSB	P07858	Linoleic acid	0.0518
CTSB	P07858	Saturated fatty acids	0.0646
CTSB	P07858	Total cholesterol levels	0.0201
CTSB	P07858	Very low-density lipoprotein cholesterol	0.0482
CTSB	P07858	Total cholesterol levels	0.0205
CTSB	P07858	Very low-density lipoprotein cholesterol	0.0376
CTSB	P07858	Body fat-free mass	-0.0193
CTSB	P07858	Glomerular filtration rate (estimated)	-0.00619
CTSB	P07858	Saturated fatty acids	0.0737
CTSB	P07858	Very low-density lipoprotein cholesterol	0.0576
CTSF	Q9UBX1	Educational attainment	-0.0362
CTSF	Q9UBX1	Educational attainment	-0.0401
CTSF	Q9UBX1	Educational attainment	-0.0497
CTSH	P09668	Alzheimer's disease	0.0468
CTSH	P09668	Basal cell carcinoma	-0.0653
CTSH	P09668	Height	-0.0093
CTSH	P09668	Coronary artery disease	-0.14
CTSH	P09668	Lung cancer	0.183
CTSH	P09668	Basal cell carcinoma	-0.0635
CTSH	P09668	Height	-0.00983
CTSS	P25774	Apolipoprotein A1	-0.0314
CTSS	P25774	Basal cell carcinoma	-0.107
CTSS	P25774	Body fat-free mass	0.0106
CTSS	P25774	Concentration of chylomicrons and extremely large VLDL	0.026
CTSS	P25774	Creatinine	0.0378
CTSS	P25774	Forced expiratory volume in 1-second (FEV1)	0.0103
CTSS	P25774	Forced vital capacity (FVC)	-0.0136
CTSS	P25774	Glomerular filtration rate (estimated)	-0.00465
CTSS	P25774	High density lipoprotein cholesterol levels	-0.0232
CTSS	P25774	Hypothyroidism/myxoedema	0.00323
CTSS	P25774	Apolipoprotein A1	-0.0556
CTSS	P25774	Basal cell carcinoma	-0.238
CTSS	P25774	Body fat-free mass	0.0164
CTSS	P25774	Cigarettes per day	-0.0833
CTSS	P25774	Creatinine	0.068
CTSS	P25774	Glomerular filtration rate (estimated)	-0.00822
CTSS	P25774	High density lipoprotein cholesterol levels	-0.0467
CTSS	P25774	Schizophrenia	0.15
CTSS	P25774	Total cholesterol levels	-0.0182
CTSS	P25774	Triglycerides	0.0266
CTSS	P25774	Apolipoprotein A1	-0.0483
CTSS	P25774	Basal cell carcinoma	-0.17
CTSS	P25774	Body fat-free mass	0.0171
CTSS	P25774	Concentration of chylomicrons and extremely large VLDL	0.0398
CTSS	P25774	Creatinine	0.0625
CTSS	P25774	Forced vital capacity (FVC)	-0.0227
CTSS	P25774	High density lipoprotein cholesterol levels	-0.0362
CTSS	P25774	Hypothyroidism/myxoedema	0.00527
CTSS	P25774	Apolipoprotein A1	-0.0473
CTSS	P25774	Basal cell carcinoma	-0.192
CTSS	P25774	Body fat-free mass	0.0174
CTSS	P25774	Concentration of chylomicrons and extremely large VLDL	0.0437
CTSS	P25774	Creatinine	0.0607
CTSS	P25774	Crohn's disease	-0.139
CTSS	P25774	Forced vital capacity (FVC)	-0.0226
CTSS	P25774	Glomerular filtration rate (estimated)	-0.0074
CTSS	P25774	Hypothyroidism/myxoedema	0.00484
CXCL5	P42830	Inflammatory bowel disease	-0.356
CXCL5	P42830	Ulcerative colitis	-0.526
CXCL5	P42830	Inflammatory bowel disease	-0.105
CXCL5	P42830	Ulcerative colitis	-0.155
CYB5A	P00167	Body fat-free mass	0.044
CYB5A	P00167	Glomerular filtration rate (estimated)	0.0109
CYB5A	P00167	Height	0.0512
CYB5A	P00167	Waist circumference	0.0512
CYB5A	P00167	Weight	0.0539
CYB5A	P00167	Body fat-free mass	0.05
CYB5A	P00167	C-reactive protein	-0.0579
CYB5A	P00167	Glomerular filtration rate (estimated)	0.00937
CYB5A	P00167	Height	0.0547
CYB5A	P00167	Weight	0.0634
CYTL1	Q9NRR1	Body mass index	-0.0208
CYTL1	Q9NRR1	Height	0.0544
CYTL1	Q9NRR1	WHR	0.0204
CYTL1	Q9NRR1	Body mass index	-0.034
CYTL1	Q9NRR1	Height	0.0888
CYTL1	Q9NRR1	WHR	0.034
CYTL1	Q9NRR1	WHR	0.0167
DARS1	P14868	Apolipoprotein A1	0.0401
DARS1	P14868	Body fat mass	-0.035
DARS1	P14868	Body fat percentage	-0.0305
DARS1	P14868	Forced expiratory volume in 1-second (FEV1)	0.0405
DARS1	P14868	Forced vital capacity (FVC)	-0.0431
DARS1	P14868	High density lipoprotein cholesterol levels	0.0402
DARS1	P14868	Low density lipoprotein cholesterol levels	0.036
DARS1	P14868	Systemic lupus erythematosus	-0.511
DARS1	P14868	Total cholesterol levels	0.0403
DARS1	P14868	Apolipoprotein A1	0.176
DARS1	P14868	Body fat mass	-0.157
DARS1	P14868	Body fat percentage	-0.136
DARS1	P14868	Forced expiratory volume in 1-second (FEV1)	0.162
DARS1	P14868	Forced vital capacity (FVC)	-0.166
DARS1	P14868	High density lipoprotein cholesterol levels	0.147
DARS1	P14868	Hip circumference	-0.137
DARS1	P14868	Low density lipoprotein cholesterol levels	0.137
DARS1	P14868	Non-HDL cholesterol levels	0.0979
DARS1	P14868	Systemic lupus erythematosus	-2.09
DARS1	P14868	Total cholesterol levels	0.153
DARS1	P14868	Waist circumference	-0.111
DARS1	P14868	Apolipoprotein A1	0.106
DARS1	P14868	Body fat percentage	-0.0804
DARS1	P14868	Forced expiratory volume in 1-second (FEV1)	0.107
DARS1	P14868	High density lipoprotein cholesterol levels	0.106
DARS1	P14868	Low density lipoprotein cholesterol levels	0.095
DARS1	P14868	Non-HDL cholesterol levels	0.069
DARS1	P14868	Systemic lupus erythematosus	-1.35
DARS1	P14868	Total cholesterol levels	0.106
DARS1	P14868	Apolipoprotein A1	0.189
DARS1	P14868	Body fat mass	-0.165
DARS1	P14868	Body fat percentage	-0.143
DARS1	P14868	Forced expiratory volume in 1-second (FEV1)	0.191
DARS1	P14868	Forced vital capacity (FVC)	-0.202
DARS1	P14868	High density lipoprotein cholesterol levels	0.189
DARS1	P14868	Hip circumference	-0.137
DARS1	P14868	Low density lipoprotein cholesterol levels	0.169
DARS1	P14868	Systemic lupus erythematosus	-2.4
DARS1	P14868	Total cholesterol levels	0.19
DBH	P09172	Cigarettes per day	-0.0592
DBI	P07108	Triglycerides	0.0131
DBI	P07108	Triglycerides	0.0246
DBI	P07108	Triglycerides	0.0194
DBI	P07108	Triglycerides	0.021
DBN1	Q16643	Cognitive performance	0.373
DBN1	Q16643	Educational attainment	0.346
DCN	P07585	IgA nephropathy	-2.28
DCXR	Q7Z4W1	Cigarettes per day	0.237
DCXR	Q7Z4W1	Body fat percentage	0.036
DDAH1	O94760	Apolipoprotein A1	-0.069
DDAH1	O94760	Body fat-free mass	0.0645
DDAH1	O94760	Height	0.087
DDAH1	O94760	High density lipoprotein cholesterol levels	-0.0649
DDAH1	O94760	Hip circumference	0.0776
DDAH1	O94760	Weight	0.0718
DDC	P20711	Body fat mass	-0.161
DDC	P20711	Body fat-free mass	-0.166
DDC	P20711	Body mass index	-0.154
DDC	P20711	Height	-0.187
DDC	P20711	Hip circumference	-0.12
DDC	P20711	WHR	-0.168
DDC	P20711	Waist circumference	-0.159
DDC	P20711	Weight	-0.191
DDT	P30046	C-reactive protein	-0.0325
DDT	P30046	Coronary artery disease	0.099
DDT	P30046	Height	-0.024
DDT	P30046	IGF-1	0.0772
DDT	P30046	Omega-3 fatty acids	0.0762
DDT	P30046	Triglycerides	0.0439
DDT	P30046	C-reactive protein	-0.0438
DDT	P30046	Height	-0.0311
DDT	P30046	High density lipoprotein cholesterol levels	0.0282
DDT	P30046	IGF-1	0.0876
DDT	P30046	Triglycerides	0.0433
DKKL1	Q9UK85	Hypothyroidism/myxoedema	-0.014
DKKL1	Q9UK85	Multiple sclerosis	-0.776
DKKL1	Q9UK85	Stroke (large artery stroke)	-0.532
DKKL1	Q9UK85	Hypothyroidism/myxoedema	-0.0217
DKKL1	Q9UK85	Multiple sclerosis	-1.26
DKKL1	Q9UK85	Stroke (large artery stroke)	-0.878
DLK1	P80370	Body fat mass	-0.0192
DLK1	P80370	Body fat-free mass	-0.0151
DLK1	P80370	Body mass index	-0.0155
DLK1	P80370	Diastolic blood pressure	0.172
DLK1	P80370	Height	-0.021
DLK1	P80370	High density lipoprotein cholesterol levels	-0.02
DLK1	P80370	Hip circumference	-0.0196
DLK1	P80370	Osteoarthritis (hip)	-0.0982
DLK1	P80370	Systolic blood pressure	0.326
DLK1	P80370	Total cholesterol levels	-0.0128
DLK1	P80370	Vitamin D	0.0244
DLK1	P80370	Waist circumference	-0.0165
DLK1	P80370	Weight	-0.0213
DLK1	P80370	Body fat mass	-0.0194
DLK1	P80370	Body fat-free mass	-0.0154
DLK1	P80370	Body mass index	-0.0157
DLK1	P80370	Diastolic blood pressure	0.175
DLK1	P80370	Height	-0.0213
DLK1	P80370	High density lipoprotein cholesterol levels	-0.0203
DLK1	P80370	Hip circumference	-0.0199
DLK1	P80370	Osteoarthritis (hip)	-0.0996
DLK1	P80370	Systolic blood pressure	0.331
DLK1	P80370	Total cholesterol levels	-0.013
DLK1	P80370	Vitamin D	0.0247
DLK1	P80370	Waist circumference	-0.0168
DLK1	P80370	Weight	-0.0216
DLK1	P80370	High density lipoprotein cholesterol levels	-0.0175
DLK1	P80370	Body fat mass	-0.0221
DLK1	P80370	Hip circumference	-0.0205
DLK1	P80370	Waist circumference	-0.0178
DLK1	P80370	Body fat mass	-0.0174
DLK1	P80370	Body fat-free mass	-0.0138
DLK1	P80370	Body mass index	-0.0141
DLK1	P80370	Diastolic blood pressure	0.156
DLK1	P80370	Height	-0.0191
DLK1	P80370	High density lipoprotein cholesterol levels	-0.0182
DLK1	P80370	Hip circumference	-0.0179
DLK1	P80370	IGF-1	-0.0234
DLK1	P80370	Low density lipoprotein cholesterol levels	-0.0114
DLK1	P80370	Osteoarthritis	-0.0446
DLK1	P80370	Osteoarthritis (hip)	-0.0893
DLK1	P80370	Systolic blood pressure	0.297
DLK1	P80370	Total cholesterol levels	-0.0116
DLK1	P80370	Vitamin D	0.0222
DLK1	P80370	Waist circumference	-0.015
DLK1	P80370	Weight	-0.0194
DLK1	P80370	Body fat mass	-0.0182
DLK1	P80370	Body fat percentage	-0.0105
DLK1	P80370	Body mass index	-0.0142
DLK1	P80370	Diastolic blood pressure	0.161
DLK1	P80370	Height	-0.0193
DLK1	P80370	Hip circumference	-0.0184
DLK1	P80370	Low density lipoprotein cholesterol levels	-0.0107
DLK1	P80370	Osteoarthritis (hip)	-0.0886
DLK1	P80370	Systolic blood pressure	0.306
DLK1	P80370	Total cholesterol levels	-0.0114
DLK1	P80370	Vitamin D	0.0215
DLK1	P80370	Pulse pressure	0.165
DLK1	P80370	Systolic blood pressure	0.342
DLL1	O00548	Forced expiratory volume in 1-second (FEV1)	0.0338
DLL1	O00548	Gluteofemoral adipose tissue adjusted for BMI and height (GFATadj)	0.142
DLL1	O00548	Visceral adipose tissue and gluteofemoral adipose tissue ratio (VAT/GFAT)	-0.141
DLL1	O00548	Systolic blood pressure	-1.33
DLL1	O00548	Visceral adipose tissue and gluteofemoral adipose tissue ratio (VAT/GFAT)	-0.299
DLL1	O00548	Gluteofemoral adipose tissue adjusted for BMI and height (GFATadj)	0.178
DLL1	O00548	Systolic blood pressure	-0.881
DLL1	O00548	Visceral adipose tissue and gluteofemoral adipose tissue ratio (VAT/GFAT)	-0.199
DLL1	O00548	Systolic blood pressure	-0.831
DLL1	O00548	Visceral adipose tissue and gluteofemoral adipose tissue ratio (VAT/GFAT)	-0.188
DNAJB4	Q9UDY4	Abdominal subcutaneous adipose tissue adjusted for BMI and height (ASATadj)	-0.0907
DNAJB4	Q9UDY4	Body fat-free mass	0.0369
DNAJB4	Q9UDY4	Body mass index	0.0447
DNAJB4	Q9UDY4	Creatinine	0.0629
DNAJB4	Q9UDY4	Educational attainment	-0.0278
DNAJB4	Q9UDY4	Forced expiratory volume in 1-second (FEV1)	0.0424
DNAJB4	Q9UDY4	Glomerular filtration rate (estimated)	-0.00688
DNAJB4	Q9UDY4	Low density lipoprotein cholesterol levels	0.0272
DNAJB4	Q9UDY4	Non-HDL cholesterol levels	0.0273
DNAJB4	Q9UDY4	Total cholesterol levels	0.0222
DNAJB4	Q9UDY4	Weight	0.0539
DNAJB4	Q9UDY4	Body fat mass	0.0827
DNAJB4	Q9UDY4	Body fat percentage	0.049
DNAJB4	Q9UDY4	Body fat-free mass	0.0653
DNAJB4	Q9UDY4	Body mass index	0.0804
DNAJB4	Q9UDY4	Creatinine	0.114
DNAJB4	Q9UDY4	Diastolic blood pressure	-0.565
DNAJB4	Q9UDY4	Educational attainment	-0.0497
DNAJB4	Q9UDY4	Forced expiratory volume in 1-second (FEV1)	0.0771
DNAJB4	Q9UDY4	Glomerular filtration rate (estimated)	-0.0125
DNAJB4	Q9UDY4	Hip circumference	0.0831
DNAJB4	Q9UDY4	Low density lipoprotein cholesterol levels	0.048
DNAJB4	Q9UDY4	Non-HDL cholesterol levels	0.0492
DNAJB4	Q9UDY4	Total cholesterol levels	0.04
DNAJB4	Q9UDY4	Waist circumference	0.0569
DNAJB4	Q9UDY4	Weight	0.0933
DNAJB4	Q9UDY4	Body fat-free mass	0.0517
DNAJB4	Q9UDY4	Body mass index	0.0637
DNAJB4	Q9UDY4	Creatinine	0.09
DNAJB4	Q9UDY4	Forced expiratory volume in 1-second (FEV1)	0.0611
DNAJB4	Q9UDY4	Glomerular filtration rate (estimated)	-0.00992
DNAJB4	Q9UDY4	Height	0.0501
DNAJB4	Q9UDY4	Low density lipoprotein cholesterol levels	0.038
DNAJB4	Q9UDY4	Non-HDL cholesterol levels	0.0389
DNAJB4	Q9UDY4	Total cholesterol levels	0.0317
DNAJB4	Q9UDY4	Weight	0.0739
DNAJC17	Q9NVM6	Cognitive performance	0.148
DNAJC17	Q9NVM6	Educational attainment	0.071
DNAJC17	Q9NVM6	Glomerular filtration rate (estimated)	-0.0137
DNAJC17	Q9NVM6	Peripheral artery disease	-0.706
DNAJC30	Q96LL9	High density lipoprotein cholesterol levels	0.0386
DNPH1	O43598	Cognitive performance	-0.0634
DNPH1	O43598	Schizophrenia	0.237
DNPH1	O43598	Glomerular filtration rate (estimated)	0.0114
DNPH1	O43598	Schizophrenia	0.416
DNPH1	O43598	WHR	-0.0921
DPP4	P27487	Educational attainment	0.073
DPP4	P27487	Educational attainment	0.0397
DPT	Q07507	Atrial fibrillation	0.183
DTNB	O60941	Primary sclerosing cholangitis	-2.87
DUT	P33316	Height	0.0932
EBAG9	O00559	Apolipoprotein B	-0.119
EBAG9	O00559	Low density lipoprotein cholesterol levels	-0.0808
ECI1	P42126	Height	0.083
ECM1	Q16610	Apolipoprotein A1	-0.0374
ECM1	Q16610	Ascending aorta diameter	0.0899
ECM1	Q16610	Glomerular filtration rate (estimated)	-0.00685
ECM1	Q16610	Height	-0.0133
ECM1	Q16610	Pulse pressure	-0.413
EDN1	P05305	Ascending aorta diameter	-0.124
EDN1	P05305	Pulse pressure	0.42
EDN1	P05305	Systolic blood pressure	0.583
EFEMP1	Q12805	Abdominal subcutaneous adipose tissue adjusted for BMI and height (ASATadj)	-0.084
EFEMP1	Q12805	Accelerated abdomen age	0.325
EFEMP1	Q12805	Accelerated liver age	0.39
EFEMP1	Q12805	Body fat mass	-0.0385
EFEMP1	Q12805	Body fat-free mass	-0.0418
EFEMP1	Q12805	Carpal tunnel syndrome	0.00494
EFEMP1	Q12805	Forced expiratory volume in 1-second (FEV1)	-0.0746
EFEMP1	Q12805	Forced vital capacity (FVC)	0.0966
EFEMP1	Q12805	Hip circumference	-0.0402
EFEMP1	Q12805	IGF-1	0.0393
EFEMP1	Q12805	Osteoarthritis	-0.0837
EFEMP1	Q12805	Osteoarthritis (hip)	-0.138
EFEMP1	Q12805	Waist circumference	-0.0232
EFEMP1	Q12805	Weight	-0.0508
EFEMP1	Q12805	Accelerated abdomen age	1.14
EFEMP1	Q12805	Accelerated liver age	1.18
EFEMP1	Q12805	Body fat mass	-0.075
EFEMP1	Q12805	Body fat-free mass	-0.057
EFEMP1	Q12805	Diastolic blood pressure	-0.704
EFEMP1	Q12805	Forced expiratory volume in 1-second (FEV1)	-0.127
EFEMP1	Q12805	Forced vital capacity (FVC)	0.174
EFEMP1	Q12805	Glomerular filtration rate (estimated)	-0.00919
EFEMP1	Q12805	Height	-0.302
EFEMP1	Q12805	Hiatus hernia	-0.0113
EFEMP1	Q12805	Hip circumference	-0.0712
EFEMP1	Q12805	Pulse pressure	1.37
EFEMP1	Q12805	Weight	-0.0838
EFEMP1	Q12805	Abdominal subcutaneous adipose tissue adjusted for BMI and height (ASATadj)	-0.146
EFEMP1	Q12805	Accelerated abdomen age	0.5
EFEMP1	Q12805	Accelerated liver age	0.589
EFEMP1	Q12805	Body fat mass	-0.059
EFEMP1	Q12805	Body fat-free mass	-0.0695
EFEMP1	Q12805	Body mass index	0.0338
EFEMP1	Q12805	Carpal tunnel syndrome	0.00824
EFEMP1	Q12805	Forced expiratory volume in 1-second (FEV1)	-0.121
EFEMP1	Q12805	Forced vital capacity (FVC)	0.157
EFEMP1	Q12805	Height	-0.265
EFEMP1	Q12805	Hip circumference	-0.0635
EFEMP1	Q12805	IGF-1	0.0627
EFEMP1	Q12805	Osteoarthritis	-0.132
EFEMP1	Q12805	Osteoarthritis (hip or knee)	-0.161
EFEMP1	Q12805	Osteoarthritis (hip)	-0.239
EFEMP1	Q12805	Pulse pressure	0.536
EFEMP1	Q12805	Waist circumference	-0.0354
EFEMP1	Q12805	Weight	-0.0818
EFEMP1	Q12805	Abdominal subcutaneous adipose tissue adjusted for BMI and height (ASATadj)	-0.165
EFEMP1	Q12805	Body fat mass	-0.0683
EFEMP1	Q12805	Body mass index	0.0395
EFEMP1	Q12805	Carpal tunnel syndrome	0.009
EFEMP1	Q12805	Forced expiratory volume in 1-second (FEV1)	-0.138
EFEMP1	Q12805	Forced vital capacity (FVC)	0.181
EFEMP1	Q12805	Hip circumference	-0.0735
EFEMP1	Q12805	IGF-1	0.0688
EFEMP1	Q12805	Osteoarthritis	-0.15
EFEMP1	Q12805	Waist circumference	-0.0414
EFEMP1	Q12805	Weight	-0.093
EFNA1	P20827	Abdominal subcutaneous adipose tissue adjusted for BMI and height (ASATadj)	-0.0971
EFNA1	P20827	Abdominal subcutaneous adipose tissue and gluteofemoral adipose tissue ratio (ASAT/GFAT)	-0.101
EFNA1	P20827	Apolipoprotein B	-0.0301
EFNA1	P20827	Low density lipoprotein cholesterol levels	-0.033
EFNA1	P20827	Non-HDL cholesterol levels	-0.0322
EFNA1	P20827	Total cholesterol levels	-0.0289
EFNA1	P20827	Urate	0.0665
EFNA1	P20827	Vitamin D	0.0228
EGF	P01133	HbA1c	-0.018
EGF	P01133	Height	0.0168
EGF	P01133	Low density lipoprotein cholesterol levels	-0.0202
EGF	P01133	Total cholesterol levels	-0.0171
EGF	P01133	HbA1c	-0.0633
EGF	P01133	Height	0.0607
EGF	P01133	Low density lipoprotein cholesterol levels	-0.072
EGF	P01133	Total cholesterol levels	-0.0611
EGF	P01133	HbA1c	-0.0725
EGF	P01133	Height	0.0676
EGF	P01133	Low density lipoprotein cholesterol levels	-0.0793
EGF	P01133	Total cholesterol levels	-0.0672
EGF	P01133	Apolipoprotein B	-0.061
EGF	P01133	Low density lipoprotein cholesterol levels	-0.0602
EGF	P01133	Non-HDL cholesterol levels	-0.0544
EGF	P01133	Total cholesterol levels	-0.058
EHD3	Q9NZN3	Height	0.0273
EIF4E2	O60573	Body fat mass	0.0966
EIF4E2	O60573	Body fat-free mass	0.0756
EIF4E2	O60573	Diastolic blood pressure	-0.985
EIF4E2	O60573	Height	0.313
EIF4E2	O60573	Weight	0.113
EIF5A	P63241	Descending aorta diameter	-0.113
EIF5A	P63241	Height	-0.0454
EIF5A	P63241	Valine	0.133
ELN	P15502	Albumin	0.19
ELN	P15502	Forced expiratory volume in 1-second (FEV1)	0.113
ELN	P15502	Forced vital capacity (FVC)	0.107
ELN	P15502	Pulse pressure	1.06
ELOA	Q14241	Hypothyroidism/myxoedema	-0.0269
ENO3	P13929	Height	-0.0168
ENO3	P13929	Body mass index	0.0264
ENO3	P13929	Height	-0.0179
ENO3	P13929	Pulse pressure	0.308
ENO3	P13929	Height	-0.0188
ENO3	P13929	Pulse pressure	1.02
ENPEP	Q07075	Hypertension	-0.0138
ENPEP	Q07075	Hypertension	-0.0167
ENPEP	Q07075	Coronary artery disease	-0.278
ENPEP	Q07075	Hypertension	-0.0825
ENPP2	Q13822	Cigarettes per day	-0.116
ENPP2	Q13822	Height	0.0235
ENPP2	Q13822	Cigarettes per day	-0.0844
ENPP5	Q9UJA9	Cognitive performance	0.0153
ENPP5	Q9UJA9	Educational attainment	0.00929
ENPP5	Q9UJA9	Glomerular filtration rate (estimated)	0.00142
ENPP5	Q9UJA9	High density lipoprotein cholesterol levels	0.0126
ENPP5	Q9UJA9	IGF-1	-0.0134
ENPP5	Q9UJA9	Cognitive performance	0.0163
ENPP5	Q9UJA9	Educational attainment	0.0099
ENPP5	Q9UJA9	Glomerular filtration rate (estimated)	0.00152
ENPP5	Q9UJA9	High density lipoprotein cholesterol levels	0.0134
ENPP5	Q9UJA9	IGF-1	-0.0142
EPHA4	P54764	Height	-0.0321
EPHA4	P54764	Height	0.108
EPS8L2	Q9H6S3	Hypothyroidism/myxoedema	0.00565
ERBB4	Q15303	WHR	-0.0455
ERI1	Q8IV48	Body fat-free mass	0.0861
ERI1	Q8IV48	Concentration of chylomicrons and extremely large VLDL	-0.322
ERI1	Q8IV48	Creatinine	-0.235
ERI1	Q8IV48	Diastolic blood pressure	1.77
ERI1	Q8IV48	Forced expiratory volume in 1-second (FEV1)	-0.129
ERI1	Q8IV48	Hip circumference	0.134
ERI1	Q8IV48	Hypertension	0.0704
ERI1	Q8IV48	Mood swings	-0.0822
ERI1	Q8IV48	Neuroticism	-0.324
ERI1	Q8IV48	Osteoarthritis	0.367
ERI1	Q8IV48	Systolic blood pressure	2.99
ERI1	Q8IV48	Weight	0.118
EVA1C	P58658	Pulse pressure	1.03
EVA1C	P58658	Systolic blood pressure	1.79
F11	P03951	Blood clot in the lung (Pulmonary embolism)	0.00452
F11	P03951	Body fat-free mass	0.0115
F11	P03951	Crohn's disease	0.424
F11	P03951	Stroke (any ischemic stroke)	0.104
F11	P03951	Stroke (cardioembolic stroke)	0.21
F11	P03951	Crohn's disease	0.338
F11	P03951	Phlebitis and thrombophlebitis	-0.00313
F11	P03951	Blood clot in the leg (Deep venous thrombosis)	0.00753
F11	P03951	Blood clot in the lung (Pulmonary embolism)	0.00407
F11	P03951	Crohn's disease	0.315
F11	P03951	Pulmonary embolism +/- DVT	0.00412
F11	P03951	Stroke (any ischemic stroke)	0.0936
F11	P03951	Stroke (cardioembolic stroke)	0.186
F11	P03951	Blood clot in the leg (Deep venous thrombosis)	0.00959
F11	P03951	Blood clot in the lung (Pulmonary embolism)	0.00485
F11	P03951	Crohn's disease	0.38
F11	P03951	Stroke (any ischemic stroke)	0.112
F11	P03951	Stroke (cardioembolic stroke)	0.206
F13B	P05160	Body fat-free mass	0.00827
F13B	P05160	Body mass index	0.0147
F13B	P05160	High density lipoprotein cholesterol levels	-0.00956
F13B	P05160	Hip circumference	0.0142
F13B	P05160	Low density lipoprotein cholesterol levels	-0.0114
F13B	P05160	Total cholesterol levels	-0.0118
F13B	P05160	Weight	0.0124
F13B	P05160	Body fat mass	0.0198
F13B	P05160	Hip circumference	0.0206
F13B	P05160	Total cholesterol levels	-0.0177
F13B	P05160	Weight	0.0181
F13B	P05160	Body mass index	0.0181
F13B	P05160	Total cholesterol levels	-0.0149
